City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
408,The Valley,AI,82.4,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
413,Buin,CL,78.8,clear sky,-33.7333,-70.75,Paihuen
415,Santa Rosa,PH,80.6,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
428,Iracoubo,GF,78.24,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
434,Phalodi,IN,78.58,overcast clouds,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
439,Bauta,CU,86.0,scattered clouds,22.9828,-82.5464,El Refugio
442,Vila Velha,BR,77.0,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
448,Labuhan,ID,76.21,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
449,Urucara,BR,79.16,broken clouds,-2.5364,-57.76,Hotel japa
460,San Policarpo,PH,80.13,overcast clouds,12.1791,125.5072,JM Lodge
467,Villagarzon,CO,78.55,broken clouds,1.0375,-76.6267,Hotel Samari
473,Axim,GH,81.23,clear sky,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
481,Laguna,US,75.99,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
483,Guarumal,PA,82.4,scattered clouds,8.35,-82.5333,Grama la martina
484,Mlonggo,ID,76.12,broken clouds,-6.5333,110.7,Asia Metal Art
489,Luganville,VU,84.2,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
490,Finschhafen,PG,79.54,overcast clouds,-6.6024,147.8681,Cossam Guest House
494,Oistins,BB,82.4,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
496,Sarh,TD,86.0,clear sky,9.1429,18.3923,Domicile 1sur le goudron
497,Port Blair,IN,82.02,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
499,Biltine,TD,81.19,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
504,Takoradi,GH,81.45,clear sky,4.8845,-1.7554,Raybow International Hotel
512,Luwuk,ID,76.15,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
515,Anloga,GH,84.2,few clouds,5.7947,0.8973,Pin Drop Hotel
519,Bubaque,GW,77.29,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
520,Puerto Carreno,CO,88.56,broken clouds,6.189,-67.4859,Casa Hotel Victoria
531,Qui Nhon,VN,77.86,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
533,Kudahuvadhoo,MV,82.44,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
538,Pemba,MZ,75.2,scattered clouds,-12.974,40.5178,Guesthouse Samotina
539,Souillac,MU,77.0,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
546,San Lorenzo,PY,86.0,few clouds,-25.3333,-57.5333,Hotel del Sur
551,Eyl,SO,80.2,few clouds,7.9803,49.8164,Amiin Hotel
552,Mathbaria,BD,80.06,overcast clouds,22.2876,89.9593,Shikdar Hotel
554,Villa Carlos Paz,AR,78.8,few clouds,-31.4241,-64.4978,Monte Carlo
566,Kirakira,SB,84.0,few clouds,-10.4544,161.9205,SanBiz Lodge
568,Hobyo,SO,81.99,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
569,Padang,ID,76.15,overcast clouds,-0.9492,100.3543,Mercure Padang
570,Nabire,ID,75.99,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
573,Santa Rita,BR,77.0,broken clouds,-7.1139,-34.9781,Infinity Motel
575,Stabat,ID,75.2,scattered clouds,3.761,98.4513,Link VII damai
