City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
237,Huautla,21.0333,-98.2833,100.92,23,0,8.55,MX,clear sky
238,Road Town,18.4167,-64.6167,80.6,57,20,9.22,VG,few clouds
239,Elko,41.0002,-115.5012,52.0,63,100,5.99,US,overcast clouds
240,Qaqortoq,60.7167,-46.0333,33.8,40,40,19.57,GL,scattered clouds
241,Nerchinskiy Zavod,51.3088,119.61,27.25,61,99,6.38,RU,overcast clouds
242,Puerto Quijarro,-17.7833,-57.7667,80.04,63,33,3.24,BO,scattered clouds
243,Ishinomaki,38.4167,141.3,39.2,75,75,1.14,JP,broken clouds
244,Dhone,15.4167,77.8833,80.04,62,3,10.07,IN,clear sky
245,Fare,-16.7,-151.0167,81.91,74,93,10.74,PF,overcast clouds
246,Itaperuna,-21.205,-41.8878,67.14,83,88,3.76,BR,overcast clouds
247,Broome,42.2506,-75.833,44.01,81,90,8.05,US,overcast clouds
248,Genhe,50.7833,121.5167,28.26,62,100,10.38,CN,overcast clouds
249,Bambous Virieux,-20.3428,57.7575,78.01,94,75,1.14,MU,light rain
250,Aksu,41.1231,80.2644,59.47,30,93,5.5,CN,overcast clouds
251,Grand Gaube,-20.0064,57.6608,78.01,84,69,5.99,MU,light rain
252,Atasu,48.6814,71.6433,48.49,49,0,8.88,KZ,clear sky
253,Lesogorsk,56.0458,99.5136,35.6,85,91,10.94,RU,overcast clouds
254,Fort Nelson,58.8053,-122.7002,62.6,27,20,4.61,CA,few clouds
255,Inuvik,68.3499,-133.7218,21.2,73,91,8.05,CA,overcast clouds
256,Adrar,20.5022,-10.0711,79.12,20,12,10.92,MR,few clouds
257,Atar,20.5169,-13.0499,81.28,19,16,7.96,MR,few clouds
258,Kaabong,3.4836,34.1492,68.0,68,82,6.67,UG,broken clouds
259,San Quintin,30.4833,-115.95,61.59,62,100,18.99,MX,overcast clouds
260,Ukiah,39.1502,-123.2078,73.4,27,1,6.91,US,clear sky
261,Sinop,41.7711,34.8709,45.34,83,33,4.38,TR,scattered clouds
262,Hafizabad,32.0679,73.6854,72.84,48,100,17.29,PK,overcast clouds
263,Snina,48.9886,22.151,33.01,77,99,1.01,SK,overcast clouds
264,Mar Del Plata,-38.0023,-57.5575,69.01,77,0,9.22,AR,clear sky
265,Maragogipe,-12.7778,-38.9194,73.4,88,90,2.3,BR,mist
