City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
125,Yellowknife,CA,2021-04-14 23:35:02,62.456,-114.3525,42.8,39,1,5.75
126,Vostochnyy,RU,2021-04-14 23:34:25,55.8167,37.8667,54.0,61,0,3.94
127,Rocha,UY,2021-04-14 23:38:22,-34.4833,-54.3333,58.32,94,6,6.26
128,Jennings,US,2021-04-14 23:34:25,38.7192,-90.2604,61.0,33,20,14.97
129,Along,IN,2021-04-14 23:29:18,28.1667,94.7667,65.66,68,61,1.3
130,Cravo Norte,CO,2021-04-14 23:38:05,6.3017,-70.2041,73.67,95,100,3.65
131,Chuy,UY,2021-04-14 23:36:27,-33.6971,-53.4616,62.26,83,0,8.21
132,Ahipara,NZ,2021-04-14 23:38:23,-35.1667,173.1667,65.39,65,58,11.74
133,Shingu,JP,2021-04-14 23:29:18,33.7333,135.9833,50.0,40,0,6.91
134,Lata,PT,2021-04-14 23:37:32,40.1629,-8.3327,61.0,94,100,2.8
135,Ginir,ET,2021-04-14 23:34:26,7.1333,40.7,57.94,70,31,5.3
136,Parakou,BJ,2021-04-14 23:34:26,9.3372,2.6303,80.78,61,57,10.47
137,Vizinga,RU,2021-04-14 23:34:26,61.0749,50.1031,49.28,89,94,7.78
138,Encs,HU,2021-04-14 23:34:27,48.3333,21.1333,37.99,70,75,3.44
139,Gurupa,BR,2021-04-14 23:34:27,-1.405,-51.64,75.15,97,94,2.82
140,Barcelos,PT,2021-04-14 23:38:23,41.5388,-8.6151,62.01,88,0,6.06
141,Bengkulu,ID,2021-04-14 23:29:43,-3.8004,102.2655,74.41,88,78,4.05
142,Cherskiy,RU,2021-04-14 23:38:24,68.75,161.3,14.4,67,32,4.74
143,Tarauaca,BR,2021-04-14 23:34:27,-8.1614,-70.7656,75.51,89,82,2.39
144,Makakilo City,US,2021-04-14 23:34:27,21.3469,-158.0858,82.4,44,75,8.05
145,Saldanha,ZA,2021-04-14 23:34:28,-33.0117,17.9442,73.4,49,63,10.36
146,Jumla,NP,2021-04-14 23:29:17,29.2747,82.1838,45.61,45,32,5.19
147,Codrington,AU,2021-04-14 23:36:19,-38.2667,141.9667,58.35,73,82,14.47
148,Barrow,US,2021-04-14 23:36:37,71.2906,-156.7887,15.8,73,1,13.8
149,Ugoofaaru,MV,2021-04-14 23:29:40,5.6667,73.0,82.72,71,51,5.5
150,Upernavik,GL,2021-04-14 23:28:29,72.7868,-56.1549,-7.49,96,98,5.88
151,Bredasdorp,ZA,2021-04-14 23:36:43,-34.5322,20.0403,51.8,93,8,3.44
152,Matara,LK,2021-04-14 23:37:16,5.9485,80.5353,77.14,86,94,0.89
153,Kochkurovo,RU,2021-04-14 23:34:28,54.0358,45.4184,47.32,83,3,4.47
154,Walvis Bay,NA,2021-04-14 23:29:07,-22.9575,14.5053,79.0,29,0,5.01
155,Thompson,CA,2021-04-14 23:38:25,55.7435,-97.8558,39.2,20,40,3.44
156,Half Moon Bay,US,2021-04-14 23:28:54,37.4636,-122.4286,66.2,71,1,5.75
157,Carlisle,US,2021-04-14 23:34:29,40.2015,-77.1889,57.99,80,100,1.01
158,Lasa,IT,2021-04-14 23:28:33,46.6166,10.7002,37.0,68,0,8.05
159,Hithadhoo,MV,2021-04-14 23:36:29,-0.6,73.0833,81.7,68,41,2.01
160,Westport,US,2021-04-14 23:28:33,41.1415,-73.3579,59.0,76,90,11.5
161,Tondano,ID,2021-04-14 23:34:29,1.3038,124.9112,77.0,94,20,2.84
162,Vredendal,ZA,2021-04-14 23:34:30,-31.6683,18.5012,81.64,19,38,5.61
163,Bethel,US,2021-04-14 23:33:54,41.3712,-73.414,66.2,42,90,9.22
164,Siniscola,IT,2021-04-14 23:34:30,40.5719,9.6922,42.8,87,0,2.3
165,Bathsheba,BB,2021-04-14 23:37:18,13.2167,-59.5167,78.8,69,40,8.05
166,Tabou,CI,2021-04-14 23:34:30,4.423,-7.3528,81.01,81,100,6.76
167,Chabahar,IR,2021-04-14 23:34:30,25.2919,60.643,79.21,67,38,5.03
168,Tukrah,LY,2021-04-14 23:34:31,32.5341,20.5791,59.41,82,46,6.4
169,Arraial Do Cabo,BR,2021-04-14 23:38:26,-22.9661,-42.0278,69.8,83,40,2.3
170,Tottori,JP,2021-04-14 23:34:31,35.5,134.2333,46.4,81,40,4.61
171,Anadyr,RU,2021-04-14 23:38:26,64.75,177.4833,8.6,66,20,4.47
172,Rawah,IQ,2021-04-14 23:34:31,34.4816,41.9093,61.05,26,0,7.34
